,,,,,,,,Events use case data from Prod ,,,Event Type data from Prod ,,,,,,,,"Account Details (Sales Model, Target Customers and departments)",,,ICP count data from Clay,,,,Hiring Signals from Clay,,,"ICP users from Prod by different event types
(Event personas only)",,,,ICP contacts not in prod,,,
001fu000009uAwJAAU,Clay,clay.com,Brooks Marsi,Mid-Market,24100,0,,Not found at Prod level,Flagship; Webinars; Third-Party Events,Conferences; Webinar; Third-Party Events,Not found at Prod level,Not found at Prod level,Not found at Prod level,Not found at Prod level,Not found at Prod level,Not found at Prod level,Not found at Prod level,Yellow,"Marketing,Sales,Operations,Sales Operations (RevOps),Data,Growth",Hybrid,"Startups,Small teams / SMBs,Growth teams,Enterprise,SaaS",0,0,2,0,2,0,0,0,0,0,0,0,2,0,0
001fu00000XKO03AAH,Fund Finance Association,fundfinanceassociation.com,Bhargav Prasad,Association,20000,1,,Field Events,Flagship; Field Events; Webinars,Conferences; Webinar,3,0,0,1,0,0,1,Red,"Investors,Fund managers,Bankers,Lawyers,Service providers",,"Investors,Fund managers,Bankers,Lawyers,Service providers,Fund finance market",1,1,1,1,0,0,0,0,0,2,0,0,0,0,0
0015i00000OuiSkAAJ,IAEM,iaem.org,Brooks Marsi,Association,0,1,Cvent,Not found at Prod level,Flagship; Field Events; Webinars; Third-Party Events,Conferences; Field Events; Webinar; Third-Party Events,Not found at Prod level,Not found at Prod level,Not found at Prod level,Not found at Prod level,Not found at Prod level,Not found at Prod level,Not found at Prod level,Red,"Emergency Management,Homeland Security,Civil Defense,Healthcare / Public Health,Higher Education,K-12 Education,Faith-Based Organizations,Energy,Municipal Emergency Management,Uniformed Services,Weather,Critical Infrastructure",,"Students,Emerging professionals,Individual emergency management professionals,Affiliate members (companies/organizations),Government,Military,Industry,Volunteer organizations",1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
0015i00000wK5gJAAS,Compliancy Group,compliancygroup.com,Brooks Marsi,Commercial,6500,1,,Webinar,Webinars; Third-Party Events,Webinar; Third-Party Events,0,0,48,0,0,0,0,Green,"Compliance,Operations,HR,IT,Security",Hybrid,"SMBs,Mid-market,Enterprise,Healthcare,Hospitals,Medical practices,Billing companies,Practice management firms,EHR platforms,MSPs,IT providers,Attorneys,Accountants",0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
0015i00000xURVYAA4,Jellyfish,jellyfish.co,Mark Whalen,Commercial,17500,1,Unknown,Not found at Prod level,Field Events; Webinars; Third-Party Events,Field Events; Webinar; Third-Party Events,Not found at Prod level,Not found at Prod level,Not found at Prod level,Not found at Prod level,Not found at Prod level,Not found at Prod level,Not found at Prod level,Yellow,"Engineering,Platform Engineering,Engineering Leadership,Finance,PMO / Engineering Operations",Sales-led,"R&D teams,Enterprise,Growth,SaaS,Healthcare,Talent & Recruiting",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
001J300000A8V8EIAV,Axios HQ,axioshq.com,Bhargav Prasad,Commercial,26500,1,,Webinar; In-person Conferences,Webinars; Third-Party Events,Webinar; Third-Party Events,0,0,111,2,1,1,4,Green,"Executives,Chiefs of Staff,Department leaders,Operations",Sales-led,"SMBs,Mid-market,Enterprise,Government,Nonprofits,Associations",2,0,1,0,0,0,0,0,1,0,0,0,0,0,0
001J300000AKpn6IAD,Findhelp,findhelp.com,Bhargav Prasad,Commercial,9000,1,Splash,Webinar; Virtual Conferences,Flagship; Field Events; Webinars; Third-Party Events,Field Events; Webinar; Third-Party Events,0,0,3,1,0,2,3,Yellow,"Population Health,Community Engagement,Data / Reporting & Analytics,Finance (Payments & Invoicing),IT / Integrations",Sales-led,"Healthcare Providers,Healthcare Payers,State Governments,County Governments,K-12 School Districts,Employers,Education,Community-based organizations (CBOs) / Nonprofits,United Way/211",1,1,1,0,0,0,0,1,1,0,0,0,0,0,0
001J300000IyoIfIAJ,Sui Foundation,https://www.sui.io/about,Mark Whalen,Commercial,28500,1,,In-person Conferences,Flagship,,1,0,0,6,0,0,6,Red,"Developers,Node Operators",PLG,"Developers,Institutions & capital markets,DeFi,AI,Gaming",9,14,7,10,10,0,1,3,0,0,0,8,6,13,10
001fu00000FMnPXAA1,LambdaTesT,lambdatest.com,Bhargav Prasad,Mid-Market,29000,1,Airmeet,Field Events; Virtual Conferences,Flagship; Field Events; Webinars; Third-Party Events,Webinar; Third-Party Events,2,1,1,0,0,5,5,Yellow,"Quality Engineering,Quality Assurance,Engineering,Engineering Operations",Hybrid,"SMBs,Enterprise,Retail,Financial Services,Media & Entertainment,Healthcare,Travel & Hospitality,Insurance,SaaS,FinTech",1,1,1,1,0,0,0,1,0,0,0,1,1,1,1
001fu00000LKylhAAD,SafetyWing,safetywing.com,Bhargav Prasad,Commercial,15000,0,,Virtual Conferences,Flagship; Field Events; Webinars; Third-Party Events,Field Events; Webinar; Third-Party Events,0,0,0,0,0,8,8,Yellow,"Sales,People",Hybrid,"Individuals,Families,Digital nomads,Remote workers,Businesses,Remote teams,Companies,Contractors,Freelancers",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
001fu00000Vcm9sAAB,Growfin.ai,growfin.ai,Bhargav Prasad,Commercial,13500,0,,,Third-Party Events,Third-Party Events,1,1,1,0,0,1,1,Yellow,"Finance,Accounts Receivable,Accounting,FP&A,Treasury,Sales,Operations",Sales-led,"Enterprise,Healthcare,Logistics,Manufacturing,Consumer Services,Technology",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
001fu00000WtU05AAF,Medicover Hospitals,medicoverhospitals.in,Bhargav Prasad,Commercial,22000,0,,Not found at Prod level,Flagship; Field Events; Third-Party Events,Conferences; Field Events; Third-Party Events,Not found at Prod level,Not found at Prod level,Not found at Prod level,Not found at Prod level,Not found at Prod level,Not found at Prod level,Not found at Prod level,Red,,,"Patients,International patients,Families,TPA/Insurance companies",0,2,3,0,0,0,0,0,0,0,0,0,3,2,0
0015i00000LtrToAAJ,Unqork,unqork.com,Brooks Marsi,Mid-Market,15000,0,Splash,Webinar; In-person Conferences,Tier 2 and 3 Conferences; Webinars; Third-Party Events,Webinar; Third-Party Events,1,0,2,2,0,0,2,Yellow,"IT,Security,Operations,Engineering,Data",Sales-led,"Enterprise,Government,Financial Services,Insurance,Healthcare",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
0015i00000OrGN3AAN,Qualia,qualia.com,Bhargav Prasad,Mid-Market,25670,1,Eventbrite,In-person Conferences,Flagship; Field Events; Third-Party Events,Field Events; Third-Party Events,0,0,0,2,1,0,3,Green,,Sales-led,"Title & Escrow Company,Lenders,Real Estate Agents,Homebuyers/Sellers/Borrower,Banks",1,2,29,0,0,1,0,0,0,0,0,1,27,1,0
0015i00000OtP97AAF,Access Intelligence,accessintel.com,Bhargav Prasad,Conference Organiser,15000,1,Cvent,,,,0,0,0,1,0,0,1,Red,"Marketing,Sales,Digital Analytics,Design,Production,Content,Lead Generation,Community Development,Operations,Human Resources,Corporate Communications",Sales-led,"Aerospace,Energy,Healthcare,Infrastructure,Satellite,Marketing & Advertising,Media & Publishing,Events,Defense,Power,Chemical/Engineering",17,0,1,0,0,0,0,0,0,0,0,17,1,0,0
0015i00000RpsH5AAJ,modern treasury,moderntreasury.com,Bhargav Prasad,Commercial,19500,1,Splash,Webinar,Flagship; Field Events,Conferences; Field Events,1,0,7,0,0,0,0,Green,"Finance,Financial Operations,Product,Engineering,Developers,Operations",Hybrid,"SMB,Mid-market,Enterprise,Digital Wallets,Lending,Payroll,Rewards & Points,Stablecoin Orchestration,Cross-Border,Fintech",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0015i00000RqTYLAA3,Zylo,zylo.com,Mark Whalen,Commercial,27250,1,Swoogo,Webinar; In-person Conferences; Virtual Conferences,Tier 2 and 3 Conferences; Webinars; Third-Party Events,Webinar; Third-Party Events,0,0,14,8,0,36,44,Green,"IT,Procurement,Software Asset Management",Sales-led,"SMBs,Mid-market,Enterprise",1,2,1,1,0,0,0,2,2,0,0,0,0,0,0
0015i00000mmG9YAAU,"Anaconda, Inc.",anaconda.com,Brooks Marsi,Mid-Market,32800,1,,Webinar,Webinars; Third-Party Events,Webinar; Third-Party Events,0,0,9,0,0,0,0,Yellow,"Data Science,Engineering,IT,Security,Management Information Systems,Marketing,Human Resources,Model Risk Management,Operations,Analysts",Hybrid,"Individuals,Students,Startups,Small data science teams,Academic research groups,SMBs,Mid-market,Corporate teams,Large enterprises,Regulated industries,Government agencies,Financial Services,Aerospace Manufacturing,Sports Betting,Education",1,1,5,0,0,0,0,0,1,0,0,0,5,0,0
0015i00000mmGBAAA2,Graylog,graylog.org,Mark Whalen,Commercial,20000,1,Unknown,No Events data found,Flagship; Webinars; Third-Party Events,Conferences; Webinar; Third-Party Events,Not found at prod level or threshold event count very less,Not found at prod level or threshold event count very less,Not found at prod level or threshold event count very less,Not found at prod level or threshold event count very less,Not found at prod level or threshold event count very less,Not found at prod level or threshold event count very less,Not found at prod level or threshold event count very less,Red,"IT / Infrastructure,DevOps / Site Reliability Engineering (SRE),Engineering / Development,Security (CISO),Compliance & Audit",Hybrid,"Mid-market,Enterprise,SaaS,Financial Services,Healthcare,Government,Gaming",0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
0015i00000uuhkAAAQ,Cloudways,cloudways.com,Bhargav Prasad,Commercial,17900,1,,Virtual Conferences,Tier 2 and 3 Conferences,,0,0,0,0,0,7,7,Yellow,"Engineering,Design,Support,Operations,Marketing",Hybrid,"Agencies,SMBs,Individuals,Bloggers,Developers,Designers,Ecommerce,Startups,Enterprise",0,0,5,0,0,0,0,0,0,0,0,0,5,0,0
0015i000011yfKxAAI,Images Med Spa,imagesmedspa.com,Brooks Marsi,NA,6500,1,,Not found at Prod level,,,Not found at Prod level,Not found at Prod level,Not found at Prod level,Not found at Prod level,Not found at Prod level,Not found at Prod level,Not found at Prod level,Red,,PLG,"Clients,Members,Beauty and wellness consumers",0,0,3,0,0,1,0,0,0,0,0,0,1,0,0
0015i000013KPxrAAG,Joorney,joorney.com,Brooks Marsi,Commercial,16000,1,,Webinar; Virtual Conferences,Tier 2 and 3 Conferences; Third-Party Events,Third-Party Events,0,0,16,0,0,3,3,Green,"Legal,Finance,M&A",Sales-led,"Visa Applicants,Immigration Attorneys,Start-ups,Small Businesses,M&A Firms,Franchisors,Lenders/Bankers,Businesses seeking funding",1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
001J3000004ZbXZIA0,OpenVPN,openvpn.net,Brooks Marsi,Commercial,13200,1,Cvent,Virtual Conferences,Webinars; Third-Party Events,Webinar; Third-Party Events,0,0,0,1,0,3,4,Red,,Hybrid,"SMBs,Mid-market,Enterprise,Technology,Healthcare,Financial services,Manufacturing,IoT,SaaS",0,0,2,0,0,0,0,2,0,0,0,0,1,0,0
001J3000004btrLIAQ,Via Nations,vianations.org,Bhargav Prasad,Association,12100,1,,No Events data found,Field Events,Field Events,Not found at prod level or threshold event count very less,Not found at prod level or threshold event count very less,Not found at prod level or threshold event count very less,Not found at prod level or threshold event count very less,Not found at prod level or threshold event count very less,Not found at prod level or threshold event count very less,Not found at prod level or threshold event count very less,Yellow,"Church Leadership,Ministry Leadership,Student Ministries",PLG,"Churches,Student Ministries,Mission Agencies,Families,Students",1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
001J30000059rHIIAY,Crosspoint Capital Partners,crosspointcapital.com,Mark Whalen,Commercial,10000,1,,In-person Conferences; Hybrid Conferences,Third-Party Events,Third-Party Events,0,0,0,3,2,0,5,Red,"Product,Engineering,Sales,Operations,Marketing,Finance,Security",,"Cybersecurity,Infrastructure Software,Early-stage,Growth equity,Buyouts",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
001J3000008DJsxIAG,PulsePoint,pulsepoint.com,Brooks Marsi,Commercial,31300,1,Cvent,Field Events; Webinar; In-person Conferences; Virtual Conferences,Flagship; Third-Party Events,Third-Party Events,2,0,4,16,0,2,18,Red,"Marketing,Product,Data",Sales-led,"Healthcare,Pharmaceuticals,Direct-to-Consumer (DTC) brands,Advertising/Media Agencies",3,4,4,3,0,0,0,1,1,0,0,3,4,3,3
001J3000008DZNpIAO,Balto Software,balto.ai,Brooks Marsi,Commercial,6000,1,,Webinar,,,0,0,38,0,0,0,0,Green,"Customer Service,Sales,Quality Assurance,Training,Operations,Compliance,Contact Center Leadership",Sales-led,"SMBs,Mid-market,Enterprise,Contact Centers,Healthcare,Financial Services,Pharmacy,Collections",0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
001J3000008FpvhIAC,Netgain,netgain.tech,Bhargav Prasad,Commercial,27000,1,Unknown,Webinar; In-person Conferences,Field Events; Webinars; Third-Party Events,Field Events; Webinar; Third-Party Events,1,0,53,11,0,0,11,Red,"Accounting,Finance,Finance Operations",Sales-led,"Accounting firms,Lenders,Companies using NetSuite,Businesses",2,3,2,2,0,0,0,1,2,0,0,0,0,0,0
001J3000008oCAwIAM,Scope3,scope3.com,Brooks Marsi,Commercial,11000,1,,Field Events,Field Events,,35,0,1,0,0,0,0,Red,"Marketing,Media,Data,Sustainability",PLG,"Brands,Agencies,Publishers,SSPs,Advertisers,CTV,Healthcare,Enterprise",2,2,2,2,0,0,0,0,0,1,0,2,2,2,2
001J3000008p1rJIAQ,Effectual,effectual.com,Bhargav Prasad,Commercial,12000,1,,Field Events; Webinar; In-person Conferences,Field Events; Third-Party Events,Third-Party Events,28,0,2,3,0,0,3,Green,"Engineering,IT,Data,Security,Finance,Operations,Customer Support,Business Systems",Sales-led,"Enterprise,Public Sector,Aerospace & Satellite,Consumer Packaged Goods,Financial Services,Retail,Travel & Hospitality,Real Estate,State, Local and Education",0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
001J300000B4AsPIAV,Tiny (tiny.cloud),https://www.tiny.cloud/,Bhargav Prasad,Commercial,30400,1,,Webinar,Webinars; Third-Party Events,Webinar; Third-Party Events,1,1,14,0,0,0,0,Yellow,"Engineering,Product,Security",Hybrid,"Enterprise,SaaS,Content Management Systems,Email and Messaging Platforms,Document Management Systems,Customer Relationship Management,Learning Management Systems,OEMs / SaaS providers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
